Timestamp,Trend Flags,Status,Value (kW)
10-Jan-25 4:30:02 PM WEST,{ },{ok},5.4
10-Jan-25 4:45:01 PM WEST,{ },{ok},5.5
10-Jan-25 5:00:02 PM WEST,{ },{ok},4.9
10-Jan-25 5:15:01 PM WEST,{ },{ok},0.3
10-Jan-25 5:30:01 PM WEST,{ },{ok},0.3
10-Jan-25 5:45:01 PM WEST,{ },{ok},0.3
10-Jan-25 6:00:01 PM WEST,{ },{ok},0.3
10-Jan-25 6:15:01 PM WEST,{ },{ok},0.3
10-Jan-25 6:30:01 PM WEST,{ },{ok},0.3
10-Jan-25 6:45:01 PM WEST,{ },{ok},0.3
10-Jan-25 7:00:01 PM WEST,{ },{ok},0.3
10-Jan-25 7:15:01 PM WEST,{ },{ok},0.3
10-Jan-25 7:30:00 PM WEST,{ },{ok},2.5
10-Jan-25 7:45:00 PM WEST,{ },{ok},5.2
10-Jan-25 8:00:01 PM WEST,{ },{ok},7.1
10-Jan-25 8:15:00 PM WEST,{ },{ok},0.3
10-Jan-25 8:30:00 PM WEST,{ },{ok},2.4
10-Jan-25 8:45:00 PM WEST,{ },{ok},0.3
10-Jan-25 9:00:00 PM WEST,{ },{ok},2.3
10-Jan-25 9:15:00 PM WEST,{ },{ok},3.1
10-Jan-25 9:30:00 PM WEST,{ },{ok},3.1
10-Jan-25 9:45:01 PM WEST,{ },{ok},0.3
10-Jan-25 10:00:00 PM WEST,{ },{ok},2.7
10-Jan-25 10:15:00 PM WEST,{ },{ok},0.3
10-Jan-25 10:30:00 PM WEST,{ },{ok},2.8
10-Jan-25 10:45:00 PM WEST,{ },{ok},3.1
10-Jan-25 11:00:00 PM WEST,{ },{ok},0.3
10-Jan-25 11:15:00 PM WEST,{ },{ok},0.3
10-Jan-25 11:30:00 PM WEST,{ },{ok},0.3
10-Jan-25 11:45:01 PM WEST,{ },{ok},7.1
11-Jan-25 12:00:00 AM WEST,{ },{ok},3.0
11-Jan-25 12:15:00 AM WEST,{ },{ok},3.0
11-Jan-25 12:30:00 AM WEST,{ },{ok},0.3
11-Jan-25 12:45:01 AM WEST,{ },{ok},2.5
11-Jan-25 1:00:00 AM WEST,{ },{ok},0.3
11-Jan-25 1:15:00 AM WEST,{ },{ok},0.3
