Timestamp,Trend Flags,Status,Value (kW)
10-Jan-25 3:15:00 PM WEST,{ },{ok},14.3
10-Jan-25 3:30:00 PM WEST,{ },{ok},19.0
10-Jan-25 3:45:02 PM WEST,{ },{ok},16.4
10-Jan-25 4:00:00 PM WEST,{ },{ok},19.4
10-Jan-25 4:15:01 PM WEST,{ },{ok},19.2
10-Jan-25 4:30:02 PM WEST,{ },{ok},18.5
10-Jan-25 4:45:01 PM WEST,{ },{ok},18.4
10-Jan-25 5:00:02 PM WEST,{ },{ok},18.4
10-Jan-25 5:15:01 PM WEST,{ },{ok},13.3
10-Jan-25 5:30:01 PM WEST,{ },{ok},13.6
10-Jan-25 5:45:01 PM WEST,{ },{ok},13.4
10-Jan-25 6:00:01 PM WEST,{ },{ok},13.7
10-Jan-25 6:15:00 PM WEST,{ },{ok},14.3
10-Jan-25 6:30:00 PM WEST,{ },{ok},13.6
10-Jan-25 6:45:01 PM WEST,{ },{ok},14.7
10-Jan-25 7:00:01 PM WEST,{ },{ok},13.6
10-Jan-25 7:15:01 PM WEST,{ },{ok},13.4
10-Jan-25 7:30:00 PM WEST,{ },{ok},15.6
10-Jan-25 7:45:00 PM WEST,{ },{ok},19.1
10-Jan-25 8:00:01 PM WEST,{ },{ok},20.8
10-Jan-25 8:15:00 PM WEST,{ },{ok},14.7
10-Jan-25 8:30:00 PM WEST,{ },{ok},16.1
10-Jan-25 8:45:00 PM WEST,{ },{ok},13.8
10-Jan-25 9:00:00 PM WEST,{ },{ok},16.1
10-Jan-25 9:15:00 PM WEST,{ },{ok},17.3
10-Jan-25 9:30:00 PM WEST,{ },{ok},17.7
10-Jan-25 9:45:01 PM WEST,{ },{ok},14.7
10-Jan-25 10:00:00 PM WEST,{ },{ok},16.9
10-Jan-25 10:15:00 PM WEST,{ },{ok},14.5
10-Jan-25 10:30:00 PM WEST,{ },{ok},16.9
10-Jan-25 10:45:00 PM WEST,{ },{ok},17.5
10-Jan-25 11:00:00 PM WEST,{ },{ok},14.7
10-Jan-25 11:15:00 PM WEST,{ },{ok},14.6
10-Jan-25 11:30:00 PM WEST,{ },{ok},14.0
10-Jan-25 11:45:01 PM WEST,{ },{ok},21.3
11-Jan-25 12:00:00 AM WEST,{ },{ok},16.7
11-Jan-25 12:15:00 AM WEST,{ },{ok},16.0
11-Jan-25 12:30:00 AM WEST,{ },{ok},14.0
11-Jan-25 12:45:01 AM WEST,{ },{ok},16.6
11-Jan-25 1:00:00 AM WEST,{ },{ok},13.3
11-Jan-25 1:15:00 AM WEST,{ },{ok},13.4
11-Jan-25 1:30:01 AM WEST,{ },{ok},15.4
11-Jan-25 1:45:00 AM WEST,{ },{ok},17.5
11-Jan-25 2:00:00 AM WEST,{ },{ok},14.5
11-Jan-25 2:15:01 AM WEST,{ },{ok},14.9
11-Jan-25 2:30:01 AM WEST,{ },{ok},11.7
11-Jan-25 2:45:00 AM WEST,{ },{ok},11.7
11-Jan-25 3:00:01 AM WEST,{ },{ok},11.5
11-Jan-25 3:15:01 AM WEST,{ },{ok},16.2
11-Jan-25 3:30:01 AM WEST,{ },{ok},11.0
11-Jan-25 3:45:00 AM WEST,{ },{ok},11.0
11-Jan-25 4:00:00 AM WEST,{ },{ok},10.7
